id,Season,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,player_of_match,venue,umpire
121,IPL-2009,Cape Town,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Deccan Chargers,0,RP Singh,Newlands,MR Benson
122,IPL-2009,Port Elizabeth,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,92,M Muralitharan,St George's Park,BG Jerling
123,IPL-2009,Durban,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,11,CH Gayle,Kingsmead,DJ Harper
124,IPL-2009,Cape Town,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Deccan Chargers,24,AC Gilchrist,Newlands,M Erasmus
125,IPL-2009,Durban,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Delhi Daredevils,9,AB de Villiers,Kingsmead,BR Doctrove
126,IPL-2009,Cape Town,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,0,YK Pathan,Newlands,MR Benson
127,IPL-2009,Durban,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,0,RS Bopara,Kingsmead,BR Doctrove
128,IPL-2009,Durban,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,12,PP Ojha,Kingsmead,HDPK Dharmasena
129,IPL-2009,Port Elizabeth,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Delhi Daredevils,0,TM Dilshan,St George's Park,S Asnani
130,IPL-2009,Cape Town,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab,27,KC Sangakkara,Newlands,M Erasmus
131,IPL-2009,Durban,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,HH Gibbs,Kingsmead,IL Howell
132,IPL-2009,Port Elizabeth,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,92,SR Tendulkar,St George's Park,BG Jerling
133,IPL-2009,Centurion,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,0,YK Pathan,SuperSport Park,GAV Baxter
134,IPL-2009,Durban,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,0,MV Boucher,Kingsmead,MR Benson
135,IPL-2009,Durban,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kings XI Punjab,3,KC Sangakkara,Kingsmead,MR Benson
136,IPL-2009,Centurion,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,DP Nannes,SuperSport Park,GAV Baxter
137,IPL-2009,Centurion,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,38,SK Raina,SuperSport Park,GAV Baxter
138,IPL-2009,East London,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,9,JP Duminy,Buffalo Park,M Erasmus
139,IPL-2009,Durban,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,8,Yuvraj Singh,Kingsmead,HDPK Dharmasena
140,IPL-2009,Port Elizabeth,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,0,YK Pathan,St George's Park,S Asnani
141,IPL-2009,Johannesburg,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,18,SB Jakati,New Wanderers Stadium,DJ Harper
